;parameter;value;temperature;solar_power;load_heat;load_elec;ele_price_in;gas_price;ele_price_out;ev_aval
sto;stocap;15.0;;;;;;;;
sto;initSOC;40.0;;;;;;;;
sto;eta;0.0;;;;;;;;
sto;minpow;0.0;;;;;;;;
sto;maxpow;12.0;;;;;;;;
sto;self_discharge;0.0;;;;;;;;
boiler;maxpow;2.0;;;;;;;;
boiler;minpow;0.0;;;;;;;;
boiler;eta;0.96;;;;;;;;
chp;minpow;0.0;;;;;;;;
chp;maxpow;2.0;;;;;;;;
hp;minpow;2.0;;;;;;;;
hp;maxpow;4.0;;;;;;;;
pv;maxpow;5.0;;;;;;;;
bat;stocap;2.5;;;;;;;;
bat;eta;0.96;;;;;;;;
bat;minpow;0.0;;;;;;;;
bat;maxpow;5.0;;;;;;;;
bat;initSOC;50.0;;;;;;;;
ev;stocap;40.0;;;;;;;;
ev;eta;0.98;;;;;;;;
ev;initSOC;20.0;;;;;;;;
ev;endSOC;90.0;;;;;;;;
ev;minpow;0.0;;;;;;;;
ev;maxpow;10.0;;;;;;;;
0;;;0.0;0.0;0.0012000000000000001;0.0005333333333333334;0.28183128758725023;0.07498754639175263;0.11;1.0
1;;;0.0;0.0;0.017007319151185123;0.5163051051051054;0.28365473332017493;0.07295554639175263;0.11;1.0
2;;;0.0;0.0;0.0012000000000000001;0.5163051051051054;0.2854625289244715;0.07401154639175261;0.11;1.0
3;;;0.0;0.0;0.05517215750043147;0.5163051051051054;0.2872469331420885;0.07052354639175264;0.11;1.0
4;;;0.0;0.0;2.2053816560807067;0.7260540540540544;0.28900030488048;0.07658221305841928;0.11;1.0
5;;;0.0;0.0;1.701768571457404;0.7421885885885889;0.29071513593293574;0.07704087972508596;0.11;1.0
6;;;0.0;0.0;1.3684428378092395;0.6615159159159163;0.2923840831298739;0.07467287972508596;0.11;1.0
7;;;0.0;0.0;0.06236447522929664;0.5808432432432437;0.29399999978341945;0.07538221305841929;0.11;1.0
8;;;0.0;0.0;0.6180641845214804;0.5324396396396399;0.2955559662906179;0.07016087972508596;0.11;1.0
9;;;0.0;0.0;0.7280172076251772;0.5808432432432437;0.2970453197642363;0.06506754639175262;0.11;1.0
10;;;0.0;0.0;0.808157514754311;0.5163051051051054;0.2984616825642684;0.06461421305841929;0.11;1.0
11;;;0.0;0.0;0.5575909534618193;0.4033633633633636;0.2997989896079674;0.06579821305841928;0.11;1.0
12;;;0.0;0.0;1.3981418474172465;0.4033633633633636;0.3010515143414603;0.07258754639175263;0.11;1.0
13;;;0.0;0.0;1.4504072651101576;0.4194978978978981;0.3022138932617302;0.07101421305841929;0.11;1.0
14;;;0.0;0.0;1.4566958848860427;0.4194978978978981;0.30328114888395846;0.07368621305841928;0.11;1.0
15;;;0.0;0.0;0.6683265603598524;0.4194978978978981;0.3042487110558786;0.07854487972508595;0.11;1.0
16;;;0.0;0.0;0.8129089163627575;0.4517669669669672;0.3051124365278689;0.0718782130584193;0.11;1.0
17;;;0.0;0.0;1.4413516526328827;0.4356324324324327;0.3058686266949828;0.07476887972508596;0.11;1.0
18;;;0.0;0.0;1.44864645157291;0.4356324324324327;0.3065140434349429;0.07568087972508594;0.11;1.0
19;;;0.0;0.0;1.5015174400590565;0.4679015015015018;0.3070459229742766;0.0736435463917526;0.11;1.0
20;;;0.0;0.0;2.1182625391441054;0.4679015015015018;0.3074619877232186;0.07191554639175263;0.11;1.0
21;;;0.0;0.0;3.099176284535603;0.4356324324324327;0.30776045602869917;0.07435287972508596;0.11;1.0
22;;;0.0;0.0;2.3413190835843882;0.4517669669669672;0.3079400498036563;0.07736621305841929;0.11;1.0
23;;;0.0;0.0;0.6169749068830298;0.5163051051051054;0.30800000000000005;0.07589421305841927;0.11;1.0
24;;;0.0;0.0;4.977877081422237;0.5647087087087089;0.30794004990179463;0.07349954639175263;0.11;1.0
25;;;0.0;0.0;3.7016678724758805;0.6292468468468473;0.3077604562245556;0.07663554639175262;0.11;1.0
26;;;0.0;0.0;8.998009649435064;0.7260540540540544;0.30746198801595437;0.0771102130584193;0.11;1.0
27;;;0.0;0.0;4.047506067670682;0.8067267267267272;0.30704592336263825;0.08150487972508595;0.11;1.0
28;;;0.0;0.0;2.1748467663251607;1.0487447447447453;0.30651404391726733;0.07573954639175261;0.11;1.0
29;;;0.0;0.0;10.384035071927844;1.339166366366367;0.3058686272692048;0.08032621305841929;0.11;1.0
30;;;0.0;0.0;8.31786405354621;1.097148348348349;0.30511243719152936;0.08485954639175262;0.11;1.0
31;;;0.0;0.0;1.4547725087784185;0.9680720720720727;0.3042487118061357;0.0870835463917526;0.11;1.0
32;;;0.0;0.0735105276704047;6.519940424106368;0.9035339339339344;0.3032811497175995;0.08335021305841929;0.11;1.0
33;;;0.0;0.1470210553408094;4.775431270719732;0.9196684684684691;0.30221389417518535;0.09216621305841928;0.11;1.0
34;;;0.0;0.22053158301121412;6.915467982700958;1.0810138138138146;0.3010515153308181;0.08969687972508596;0.11;1.0
35;;;0.0;0.2940421106816188;3.6898149525778363;1.2907627627627631;0.2997989906689912;0.08896621305841927;0.11;1.0
36;;;0.0;0.3460835238627951;2.2307284277820503;1.1294174174174179;0.2984616836924147;0.08516354639175262;0.11;1.0
37;;;0.0;0.39812493704397145;3.262375505298098;1.4521081081081089;0.29704532095467423;0.08182487972508595;0.11;1.0
38;;;0.0;0.4501663502251477;2.627178503505684;1.1132828828828834;0.29555596753824986;0.08114754639175262;0.11;1.0
39;;;0.0;0.502207763406324;2.8574400332688326;1.1616864864864873;0.29400000108290286;0.08119554639175261;0.11;1.0
40;;;0.0;0.565017061478587;2.6598042617573308;1.5005117117117124;0.2923840844756442;0.08329687972508595;0.11;1.0
41;;;0.0;0.6278263595508501;3.3291953910178806;0.9358030030030036;0.2907151373192301;0.0850995463917526;0.11;1.0
42;;;0.0;0.6906356576231131;2.4778255127778177;1.4843771771771779;0.2890003063013621;0.0837182130584193;0.11;1.0
43;;;0.0;0.7534449556953761;1.9338277629767755;0.7421885885885889;0.28724693459147393;0.08182487972508595;0.11;1.0
44;;;0.0;0.772768254914467;6.904415331777413;0.6615159159159163;0.2854625303961537;0.08572354639175263;0.11;0.0
45;;;0.0;0.7920915541335579;6.4252978604444895;0.7583231231231236;0.283654734807852;0.08736087972508597;0.11;0.0
46;;;0.0;0.8114148533526488;4.661135793641993;0.7583231231231236;0.28183128908455174;0.08685954639175264;0.11;1.0
47;;;0.0;0.8307381525717399;2.7886894125445547;0.7583231231231236;0.28000000150051424;0.0865662130584193;0.11;1.0
48;;;0.0;0.846242458816059;2.65538126703006;0.9196684684684691;0.2781687139100513;0.08659287972508595;0.11;1.0
49;;;0.0;0.861746765060378;1.9670959760273254;1.1132828828828834;0.2763452681675022;0.08887554639175263;0.11;1.0
50;;;0.0;0.8772510713046969;2.0129888166032237;1.2100900900900906;0.27453747254721084;0.08879021305841928;0.11;1.0
51;;;0.0;0.892755377549016;1.6122344140096037;1.5005117117117124;0.272753068307297;0.08923821305841928;0.11;1.0
52;;;0.0;0.9039374410681811;1.977266382936819;1.661857057057058;0.2709996965404022;0.09194754639175264;0.11;1.0
53;;;0.0;0.9151195045873461;1.9332628282147786;1.4682426426426434;0.26928486545335867;0.10643287972508594;0.11;1.0
54;;;0.0;0.9263015681065111;2.0695868834921147;0.9358030030030036;0.2676159182158965;0.10904621305841927;0.11;1.0
55;;;0.0;0.937483631625676;2.1904879464174534;0.9035339339339344;0.26600000151606407;0.09794221305841927;0.11;1.0
56;;;0.0;0.944504989664846;1.7638975807237274;0.8067267267267272;0.26444403495701413;0.0962622130584193;0.11;1.0
57;;;0.0;0.951526347704016;6.072587022491694;0.6615159159159163;0.26295468142620176;0.08761687972508594;0.11;1.0
58;;;0.0;0.958547705743186;6.3375614210116336;0.7260540540540544;0.261538318563878;0.08577154639175263;0.11;0.0
59;;;0.0;0.965569063782356;3.1376824487739254;0.9196684684684691;0.26020101145305646;0.08097154639175262;0.11;0.0
60;;;0.0;0.9326047482913651;4.102378781680264;0.951937537537538;0.25894848664789755;0.08438487972508596;0.11;0.0
61;;;0.0;0.8996404328003741;2.8589157572108563;0.6937849849849854;0.2577861076517251;0.07805954639175264;0.11;0.0
62;;;0.0;0.866676117309383;2.456797373440284;0.5001705705705708;0.25671885194968264;0.07476887972508596;0.11;0.0
63;;;0.0;0.8337118018183921;7.691176043084571;0.7421885885885889;0.2557512896943786;0.07557421305841928;0.11;0.0
64;;;0.0;0.7149514918471683;4.02507790905911;0.5324396396396399;0.2548875641357917;0.08028354639175261;0.11;0.0
65;;;0.0;0.5961911818759447;2.4216503337198625;1.0164756756756763;0.25413137387923923;0.07901421305841928;0.11;0.0
66;;;0.0;0.47743087190472094;4.3424471354091665;1.1132828828828834;0.25348595704738175;0.07582487972508596;0.11;0.0
67;;;0.0;0.3586705619334972;3.703162479459071;1.1778210210210214;0.2529540774140852;0.07723821305841928;0.11;0.0
68;;;0.0;0.32495832700709193;1.4066399702214587;1.59731891891892;0.25253801256951736;0.07114221305841929;0.11;0.0
69;;;0.0;0.29124609208068664;5.846175936970028;2.0974894894894907;0.2522395441671573;0.07490221305841928;0.11;0.0
70;;;0.0;0.25753385715428134;5.384557806999238;1.9522786786786794;0.25205995029448214;0.07479554639175262;0.11;0.0
71;;;0.0;0.22382162222787602;2.9580546323001395;1.4037045045045053;0.2520000000000001;0.07749421305841929;0.11;0.0
72;;;0.0;0.167866216670907;3.1522546033275463;1.2262246246246253;0.2520599500000672;0.0728382130584193;0.11;0.0
73;;;0.0;0.11191081111393801;3.733980521592585;1.5811843843843854;0.2522395435795881;0.07564354639175262;0.11;0.0
74;;;0.0;0.055955405556969005;7.529775125120947;1.3714354354354361;0.25253801169130996;0.07988354639175263;0.11;0.0
75;;;0.0;0.0;4.064983886674808;1.0648792792792798;0.25295407624900024;0.0807742130584193;0.11;0.0
76;;;0.0;0.0;3.167840659908852;0.984206606606607;0.2534859556004083;0.07620354639175261;0.11;0.0
77;;;0.0;0.0;3.0402410602873413;0.9196684684684691;0.25413137215657344;0.07840087972508596;0.11;0.0
78;;;0.0;0.0;5.82055357708435;1.516646246246247;0.25488756214481034;0.07710487972508595;0.11;0.0
79;;;0.0;0.0;2.4824082444650144;1.1616864864864873;0.2557512874436073;0.07613954639175262;0.11;0.0
80;;;0.0;0.0;6.967310167527258;1.8393369369369381;0.2567188494487596;0.07650754639175263;0.11;0.0
81;;;0.0;0.0;5.3031323536805655;1.7586642642642654;0.2577861049113596;0.07538754639175262;0.11;0.0
82;;;0.0;0.0;2.877343798037057;1.339166366366367;0.25894848367982426;0.07230487972508595;0.11;0.0
83;;;0.0;0.0;2.3259508344407314;1.1616864864864873;0.26020100826998516;0.07380887972508596;0.11;0.0
84;;;0.0;0.0;1.5114502768526727;1.3714354354354361;0.2615383151794391;0.07752621305841928;0.11;0.0
85;;;0.0;0.0;1.8138808975090597;1.274628228228229;0.2629546778548879;0.07841154639175263;0.11;0.0
