vehID,d_travelled,delta_t,t_arrival,t_departure,delta_t_sec
1051649-2,41.659198,0 days 14:12:00.000000000,2012-05-08 12:59:00,2012-05-09 03:11:00,51120
1051649-2,41.681397999999994,0 days 13:56:00.000000000,2012-05-09 13:15:00,2012-05-10 03:11:00,50160
1051649-2,41.662000000000006,0 days 12:50:00.000000000,2012-05-10 14:26:00,2012-05-11 03:16:00,46200
1051649-2,41.655,0 days 14:09:00.000000000,2012-05-11 12:56:00,2012-05-12 03:05:00,50940
1051649-2,41.732298,0 days 02:03:00.000000000,2012-05-12 13:00:00,2012-05-12 15:03:00,7380
1051649-2,5.644999,0 days 00:04:00.000000000,2012-05-12 15:53:00,2012-05-12 15:57:00,240
1051649-2,4.511900000000001,0 days 00:02:00.000000000,2012-05-12 16:54:00,2012-05-12 16:56:00,120
1051649-2,3.001399,0 days 03:16:00.000000000,2012-05-13 08:48:00,2012-05-13 12:04:00,11760
1051649-3,28.9713,1 days 16:29:00.000000000,2012-05-07 17:51:00,2012-05-09 10:20:00,59340
1051649-3,28.4287,0 days 14:48:00.000000000,2012-05-09 18:01:00,2012-05-10 08:49:00,53280
1051649-3,28.927798000000003,0 days 00:31:00.000000000,2012-05-10 17:26:00,2012-05-10 17:57:00,1860
1051649-3,30.840898,0 days 13:04:00.000000000,2012-05-10 22:46:00,2012-05-11 11:50:00,47040
1051649-3,18.628399,0 days 03:44:00.000000000,2012-05-11 13:08:00,2012-05-11 16:52:00,13440
1051649-3,28.868098,0 days 04:43:00.000000000,2012-05-12 01:31:00,2012-05-12 06:14:00,16980
1051649-3,30.410899,0 days 05:04:00.000000000,2012-05-12 07:26:00,2012-05-12 12:30:00,18240
1051649-3,2.446799,0 days 00:01:00.000000000,2012-05-12 12:42:00,2012-05-12 12:43:00,60
1051795-1,28.136299,0 days 00:38:00.000000000,2012-05-16 15:45:00,2012-05-16 16:23:00,2280
1051795-1,2.361399,0 days 02:03:00.000000000,2012-05-16 17:00:00,2012-05-16 19:03:00,7380
1051795-1,3.435999,0 days 13:16:00.000000000,2012-05-16 21:49:00,2012-05-17 11:05:00,47760
1051795-1,5.881498000000001,0 days 00:43:00.000000000,2012-05-17 12:14:00,2012-05-17 12:57:00,2580
1051795-1,3.763398,0 days 02:13:00.000000000,2012-05-17 13:29:00,2012-05-17 15:42:00,7980
1051795-1,7.313399,0 days 01:42:00.000000000,2012-05-17 17:26:00,2012-05-17 19:08:00,6120
